,RATING
786,4.0
787,2.4
788,4.0
789,3.6
790,4.2
791,4.0
792,3.2
793,3.4
794,4.2
795,3.8
796,4.2
797,4.0
798,3.6
799,3.6
800,3.8
801,4.0
802,4.0
803,3.8
804,4.2
805,3.6
806,4.2
807,4.0
808,4.2
809,4.0
810,3.6
811,4.2
812,4.0
813,4.0
814,3.0
815,3.8
816,4.4
817,4.2
818,4.0
819,2.8
820,3.8
821,2.8
822,3.6
823,4.0
824,4.0
825,4.0
826,4.0
827,4.0
828,4.2
829,3.8
830,4.4
831,4.0
832,3.4
833,3.8
834,4.0
835,4.0
836,3.4
837,4.2
838,3.6
839,3.0
840,3.8
841,4.0
842,3.8
843,4.0
844,4.0
845,4.6
846,4.0
847,2.4
848,4.0
849,3.6
850,4.2
851,4.0
852,3.2
853,3.4
854,4.2
855,3.8
856,4.2
857,4.0
858,3.6
859,3.6
860,3.8
861,4.0
862,4.0
863,3.8
864,4.2
865,3.6
866,4.2
867,4.0
868,4.2
869,4.0
870,3.6
871,4.2
872,4.0
873,4.0
874,3.0
875,3.8
876,4.4
877,4.2
878,4.0
879,2.8
880,3.8
881,2.8
882,3.6
883,4.0
884,4.0
885,4.0
886,4.0
887,4.0
888,4.2
889,3.8
890,4.4
891,4.0
892,3.4
893,3.8
894,4.0
895,4.0
896,3.4
897,4.2
898,3.6
899,3.0
900,3.8
901,4.0
902,3.8
903,4.0
904,4.0
905,4.6
906,4.0
907,2.4
908,4.0
909,3.6
910,4.2
911,4.0
912,3.2
913,3.4
914,4.2
915,3.8
916,4.2
917,4.0
918,3.6
919,3.6
920,3.8
921,4.0
922,4.0
923,3.8
924,4.2
925,3.6
926,4.2
927,4.0
928,4.2
929,4.0
930,3.6
931,4.2
932,4.0
933,4.0
934,3.0
935,3.8
936,4.4
937,4.2
938,4.0
939,2.8
940,3.8
941,2.8
942,3.6
943,4.0
944,4.0
945,4.0
946,4.0
947,4.0
948,4.2
949,3.8
950,4.4
951,4.0
952,3.4
953,3.8
954,4.0
955,4.0
956,3.4
957,4.2
958,3.6
959,3.0
960,3.8
961,4.0
962,3.8
963,4.0
964,4.0
965,4.6
966,4.0
967,2.4
968,4.0
969,3.6
970,4.2
971,4.0
972,3.2
973,3.4
974,4.2
975,3.8
976,4.2
977,4.0
978,3.6
979,3.6
980,3.8
981,4.0
982,4.0
983,3.8
984,4.2
985,3.6
986,4.2
987,4.0
988,4.2
989,4.0
990,3.6
991,4.2
992,4.0
993,4.0
994,3.0
995,3.8
996,4.4
997,4.2
998,4.0
999,2.8
1000,3.8
1001,2.8
1002,3.6
1003,4.0
1004,4.0
1005,4.0
1006,4.0
1007,4.0
1008,4.2
1009,3.8
1010,4.4
1011,4.0
1012,3.4
1013,3.8
1014,4.0
1015,4.0
1016,3.4
1017,4.2
1018,3.6
1019,3.0
1020,3.8
1021,4.0
1022,3.8
1023,4.0
1024,4.0
1025,4.6
1026,4.0
1027,2.4
1028,4.0
1029,3.6
1030,4.2
1031,4.0
1032,3.2
1033,3.4
1034,4.2
1035,3.8
1036,4.2
1037,4.0
1038,3.6
1039,3.6
1040,3.8
1041,4.0
1042,4.0
1043,3.8
1044,4.2
1045,3.6
1046,4.2
1047,4.0
1048,4.2
1049,4.0
1050,3.6
1051,4.2
1052,4.0
1053,4.0
1054,3.0
1055,3.8
1056,4.4
1057,4.2
1058,4.0
1059,2.8
1060,3.8
1061,2.8
1062,3.6
1063,4.0
1064,4.0
1065,4.0
1066,4.0
1067,4.0
1068,4.2
